subject,condition,studyResp,studyResp2,studyResp3,named,afc,whichItem,trial
1,4,1,2,1,0,1,36,1
1,2,3,3,3,1,1,156,2
1,3,1,1,1,1,1,13,3
1,1,99999,99999,99999,1,1,48,4
1,1,99999,99999,99999,0,1,128,5
1,2,3,3,3,0,0,66,6
1,4,3,3,3,1,1,14,7
1,3,NaN,1,0,1,0,148,8
1,4,0,2,2,0,1,139,9
1,4,1,3,2,0,0,46,10
1,1,99999,99999,99999,0,1,65,11
1,2,3,3,3,0,1,95,12
1,3,0,1,1,0,1,55,13
1,2,3,3,3,0,1,150,14
1,1,99999,99999,99999,1,1,143,15
1,3,1,1,1,0,0,16,16
1,1,99999,99999,99999,0,1,17,17
1,3,0,1,1,1,1,186,18
1,2,2,3,3,1,1,44,19
1,2,3,3,3,1,0,140,20
1,4,2,2,2,1,1,103,21
1,4,2,2,2,1,1,122,22
1,3,1,1,1,0,1,123,23
1,1,99999,99999,99999,0,1,88,24
1,3,1,1,1,1,1,188,25
1,3,1,1,1,0,1,62,26
1,4,2,2,2,1,1,32,27
1,1,99999,99999,99999,0,0,40,28
1,1,99999,99999,99999,0,0,168,29
1,2,2,3,3,1,1,144,30
1,2,3,3,3,0,1,43,31
1,4,1,1,2,0,1,11,32
1,4,0,2,2,1,1,96,33
1,4,3,3,3,0,1,171,34
1,3,0,1,1,0,0,3,35
1,2,3,3,3,1,1,109,36
1,3,1,1,1,0,1,98,37
1,1,99999,99999,99999,1,1,121,38
1,2,3,3,3,1,1,181,39
1,1,99999,99999,99999,0,0,162,40
1,2,3,3,3,0,1,108,41
1,4,3,3,3,1,1,81,42
1,2,3,3,3,0,1,184,43
1,3,0,0,1,0,1,6,44
1,4,3,3,3,0,0,173,45
1,1,99999,99999,99999,0,1,159,46
1,1,99999,99999,99999,0,0,61,47
1,3,NaN,1,1,1,1,78,48
1,2,3,3,3,0,0,172,49
1,2,3,3,3,1,1,12,50
1,4,3,3,3,0,1,71,51
1,1,99999,99999,99999,0,0,31,52
1,1,99999,99999,99999,0,1,178,53
1,3,0,1,1,0,0,18,54
1,3,1,1,1,0,0,126,55
1,4,2,3,3,0,1,180,56
1,3,0,1,1,0,0,39,57
1,2,3,3,3,1,1,10,58
1,1,99999,99999,99999,0,0,47,59
1,4,2,2,2,0,0,20,60
1,2,3,3,3,0,0,170,61
1,4,1,1,2,1,1,182,62
1,3,1,1,1,0,0,167,63
1,1,99999,99999,99999,1,1,84,64
1,1,99999,99999,99999,0,1,4,65
1,1,99999,99999,99999,0,1,70,66
1,2,3,3,3,1,1,5,67
1,2,3,3,3,0,0,119,68
1,4,2,2,2,0,1,136,69
1,4,1,3,2,1,1,117,70
1,3,0,1,1,1,1,30,71
1,3,1,1,1,0,0,94,72
1,1,99999,99999,99999,0,1,87,73
1,4,2,2,2,0,1,135,74
1,2,3,3,3,1,1,49,75
1,1,99999,99999,99999,0,1,34,76
1,2,3,3,3,1,1,7,77
1,4,2,3,3,0,1,116,78
1,3,1,1,1,0,1,69,79
1,3,1,1,3,1,1,92,80
1,1,99999,99999,99999,0,1,29,81
1,4,2,3,NaN,0,1,154,82
1,1,99999,99999,99999,1,1,52,83
1,2,3,3,1,0,1,166,84
1,2,3,3,3,0,1,124,85
1,3,1,1,1,0,1,169,86
1,3,0,1,1,0,1,77,87
1,4,3,3,3,1,1,15,88
1,4,2,2,2,1,1,145,89
1,2,3,3,3,0,1,100,90
1,4,3,3,3,1,1,176,91
1,2,3,3,3,0,1,129,92
1,1,99999,99999,99999,0,1,86,93
1,3,1,1,1,0,1,21,94
1,3,1,1,1,0,1,63,95
1,1,99999,99999,99999,0,0,26,96
1,1,99999,99999,99999,0,0,127,97
1,3,1,1,1,0,1,80,98
1,3,1,2,1,0,1,54,99
1,2,3,3,3,1,1,35,100
1,2,3,3,3,0,1,72,101
